Locations,Frequency
kashmir,7
europe,3
northeast,3
east coast,3
south asia,2
south kashmir,2
west singhbhum,2
third moon,2
west district,2
arctic,2
north east,2
maoist dantewada district,1
south gadchiroli,1
west central,1
south pole moon,1
south china,1
india bloc,1
east asia,1
speaking east asia,1
east district,1
supply delhi dam,1
south mumbai,1
south china sea,1
arindam bagchi came,1
northeast india,1
varanasi district,1
west singhbhum ashutosh shekhar,1
central kashmir,1
pacific,1
southern district odisha,1
earth,1
